fixture,candidate,family,status,reference_kind,within_gate,production_preserved,piecewise_preserved,boundaries_exact,components,permutations,reason,evidence_sha256
lateral_x10_y5,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y5,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y5,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y1,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y1,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y1,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y5,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y5,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x15_y5,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x4_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x4_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x4_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x4_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x4_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x4_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5.5_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5.5_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5.5_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5.5_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5.5_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x5.5_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x6_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x6_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x6_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x6_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x6_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x6_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x10_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x10_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x10_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x10_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x10_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x10_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x20_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x20_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x20_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x20_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x20_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x20_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x40_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x40_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x40_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x40_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x40_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
depth_x40_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
equal_minimum_one,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
equal_minimum_one,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
equal_minimum_one,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
equal_minimum_three,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,5,6,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
equal_minimum_three,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,5,6,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
equal_minimum_three,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,5,6,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_1,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_1,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_1,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_3,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_3,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_3,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_4,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_4,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
star_edge_4,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,6,24,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
